ingredient,match_title,match_category,match_subcategory,match_id,score,reasons
Голубика,Голубика,"Овощи, фрукты, ягоды, зелень",Ягоды,1854.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Орехи толченые,Орехи кедровые очищенные,"Орехи, чипсы и снеки",Орехи,5736.0,2.6071,"{'title_overlap': 0.25, 'vec_sim': 0.7832, 'fuzzy': 0.6316}"
Орехи толченые,Орехи кедровые очищенные дальневосточные,"Орехи, чипсы и снеки",Орехи,5737.0,2.4041,"{'title_overlap': 0.2, 'vec_sim': 0.7859, 'fuzzy': 0.5263}"
Орехи толченые,Кедровые орехи Семушка,"Орехи, семечки","Орехи, семечки",2524.0,2.2764,"{'title_overlap': 0.25, 'vec_sim': 0.6872, 'fuzzy': 0.5263}"
Уцхо-сунели,Пряность Волшебное Дерево Уцхо- Сунели,Специи,Специи,6908.0,3.0129,"{'title_overlap': 0.4, 'vec_sim': 0.8634, 'fuzzy': 0.7059}"
Уцхо-сунели,Приправа уцхо-сунели,Индилавка: вкусы мира,Пряности и специи,6833.0,2.9638,"{'title_overlap': 0.6667, 'vec_sim': 0.9536, 'fuzzy': 0.3871}"
Уцхо-сунели,Приправа Хмели-Сунели,"Масла, соусы, специи, сахар и соль",Специи,6817.0,2.5218,"{'title_overlap': 0.25, 'vec_sim': 0.9496, 'fuzzy': 0.375}"
Сироп инвертный,Кленовый сироп,Консервация,"Сиропы, пасты и сгущёнка",2954.0,1.9518,"{'title_overlap': 0.3333, 'vec_sim': 0.9911, 'fuzzy': 0.6897}"
Сироп инвертный,Светлый сироп агавы,Индилавка: вкусы мира,"Крупы, мука, соусы, масла",8684.0,1.7633,"{'title_overlap': 0.25, 'vec_sim': 0.9682, 'fuzzy': 0.6471}"
Сироп инвертный,Темный сироп агавы,Индилавка: вкусы мира,"Крупы, мука, соусы, масла",9138.0,1.2954,"{'title_overlap': 0.25, 'vec_sim': 0.6919, 'fuzzy': 0.6667}"
Ананас,Ананас резаный,Сладости и десерты,Сладости до 200 ккал,24.0,3.7935,"{'title_overlap': 0.5, 'vec_sim': 0.9964, 'fuzzy': 1.0}"
Ананас,Ананас очищенный,"Овощи, фрукты, ягоды, зелень",Фруктовые нарезки и десерты,21.0,3.7927,"{'title_overlap': 0.5, 'vec_sim': 0.9959, 'fuzzy': 1.0}"
Ананас,Ананас кубики,"Овощи, фрукты, ягоды, зелень",Фруктовые нарезки и десерты,19.0,3.4769,"{'title_overlap': 0.5, 'vec_sim': 0.8205, 'fuzzy': 1.0}"
Сыр плавленый,"Сыр плавленый ""Рокбер""",Сыры,Творожные и плавленые сыры,8883.0,3.9659,"{'title_overlap': 0.6667, 'vec_sim': 0.9996, 'fuzzy': 1.0}"
Сыр плавленый,"Сыр плавленый ""Швейцарский""",Сыры,Творожные и плавленые сыры,8889.0,3.9641,"{'title_overlap': 0.6667, 'vec_sim': 0.9986, 'fuzzy': 1.0}"
Сыр плавленый,"Сыр плавленый ""Янтарь""",Сыры,Творожные и плавленые сыры,8900.0,3.9629,"{'title_overlap': 0.6667, 'vec_sim': 0.9979, 'fuzzy': 1.0}"
Саго,Азу из говядины,"Мясо, птица",Говядина и телятина,227.0,0.0947,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.0947}"
Белок яичный,Белок яичный,"Молочные продукты, яйцо",Яйцо,455.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Белок яичный,Белок яичный,"Молочные продукты, яйцо",Яйцо,454.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Белок яичный,Белок,"Молочные продукты, яйцо",Яйцо,452.0,3.7987,"{'title_overlap': 0.5, 'vec_sim': 0.9993, 'fuzzy': 1.0}"
Виноград,Виноград Кураж,Фрукты,Виноград,9900.0,3.7998,"{'title_overlap': 0.5, 'vec_sim': 0.9999, 'fuzzy': 1.0}"
Виноград,Виноград Ред Глоб,Фрукты,Виноград,9903.0,3.633,"{'title_overlap': 0.3333, 'vec_sim': 0.9998, 'fuzzy': 1.0}"
Виноград,Виноград розовый десертный,Фрукты,Виноград,9904.0,3.618,"{'title_overlap': 0.3333, 'vec_sim': 0.9915, 'fuzzy': 1.0}"
Маринад,"Соус-маринад ""Барбекю""","Масла, соусы, специи, сахар и соль",Соусы и уксус,8427.0,2.6319,"{'title_overlap': 0.3333, 'vec_sim': 0.8747, 'fuzzy': 0.4828}"
Маринад,Тамариндовый соус,"Масла, соусы, специи, сахар и соль",Соусы и уксус,9094.0,2.0405,"{'title_overlap': 0.0, 'vec_sim': 0.717, 'fuzzy': 0.5}"
Маринад,"Соус ""Барбекю""","Масла, соусы, специи, сахар и соль",Соусы и уксус,8365.0,1.8435,"{'title_overlap': 0.0, 'vec_sim': 0.8654, 'fuzzy': 0.1905}"
Пита,"Пита ""Ливанская""",Хлеб и выпечка,"Лаваши, питы и хлеб для сэндвичей",6554.0,3.7992,"{'title_overlap': 0.5, 'vec_sim': 0.9995, 'fuzzy': 1.0}"
Пита,"Пита ""Арабская""",Хлеб и выпечка,"Лаваши, питы и хлеб для сэндвичей",6553.0,3.7955,"{'title_overlap': 0.5, 'vec_sim': 0.9975, 'fuzzy': 1.0}"
Пита,"Пита ""Арабская""",Хлеб и выпечка,"Лаваши, питы и хлеб для сэндвичей",6552.0,3.7955,"{'title_overlap': 0.5, 'vec_sim': 0.9975, 'fuzzy': 1.0}"
Порошок горчичный,Какао-порошок,Чай и кофе,"Цикорий, матча и какао",2279.0,2.2236,"{'title_overlap': 0.3333, 'vec_sim': 0.6057, 'fuzzy': 0.5333}"
Порошок горчичный,Батон Самарский Хлебозавод №5 Горчичный нарезанный,Хлеб,Хлеб,296.0,2.1427,"{'title_overlap': 0.1429, 'vec_sim': 0.5341, 'fuzzy': 0.6923}"
Порошок горчичный,Соус Heinz Горчичный дой-пак,Соусы,Соусы,8399.0,2.0956,"{'title_overlap': 0.1667, 'vec_sim': 0.4947, 'fuzzy': 0.6923}"
Цедра грейпфрута,"Лимонад ""Домашний"" с соком грейпфрута",Напитки,"Лимонады, газировка",4116.0,3.3734,"{'title_overlap': 0.2, 'vec_sim': 0.9297, 'fuzzy': 1.0}"
Цедра грейпфрута,Лимонад StarBar Craft со вкусом Грейпфрута и Малины,Газированные напитки,Газированные напитки,4142.0,2.7534,"{'title_overlap': 0.125, 'vec_sim': 0.6269, 'fuzzy': 1.0}"
Цедра грейпфрута,"Лимонад ""Тоник-грейпфрут""",Напитки,"Лимонады, газировка",4146.0,2.0279,"{'title_overlap': 0.0, 'vec_sim': 0.6504, 'fuzzy': 0.5714}"
Заменитель сахара,Айвар острый без добавления сахара,Консервация,"Хумус, закуски и соленья",224.0,2.5099,"{'title_overlap': 0.1667, 'vec_sim': 0.867, 'fuzzy': 0.5217}"
Заменитель сахара,Леденцы без сахара Sula Мультивитамин,"Карамель, леденцы, драже","Карамель, леденцы, драже",4063.0,2.4762,"{'title_overlap': 0.1667, 'vec_sim': 0.8483, 'fuzzy': 0.5217}"
Заменитель сахара,Леденцы без сахара Sula Лесная ягода,"Карамель, леденцы, драже","Карамель, леденцы, драже",4062.0,2.4614,"{'title_overlap': 0.1429, 'vec_sim': 0.8533, 'fuzzy': 0.5217}"
Гребешок,Гребешок морской на раковине с/м,"Рыба, икра и морепродукты",Морепродукты замороженные,1984.0,3.0307,"{'title_overlap': 0.1667, 'vec_sim': 0.7578, 'fuzzy': 1.0}"
Гребешок,Морской гребешок филе 100/130 зам,"Рыба, икра и морепродукты",Морепродукты замороженные,5065.0,2.9203,"{'title_overlap': 0.1667, 'vec_sim': 0.6965, 'fuzzy': 1.0}"
Гребешок,Крендельки ОГО! с морской солью,"Печенье, крекеры","Печенье, крекеры",3711.0,1.6728,"{'title_overlap': 0.0, 'vec_sim': 0.7157, 'fuzzy': 0.2564}"
Кориандр,Кориандр молотый,"Масла, соусы, специи, сахар и соль",Специи,3497.0,3.3407,"{'title_overlap': 0.5, 'vec_sim': 0.7448, 'fuzzy': 1.0}"
Кориандр,Кориандр целый Золото Индии,Индилавка: вкусы мира,Пряности и специи,3498.0,3.1483,"{'title_overlap': 0.25, 'vec_sim': 0.7769, 'fuzzy': 1.0}"
Кориандр,Фенхель молотый Золото Индии,"Масла, соусы, специи, сахар и соль",Специи,1552.0,2.033,"{'title_overlap': 0.0, 'vec_sim': 0.9442, 'fuzzy': 0.2222}"
Перец болгарский зеленый,"Перец болгарский желтый ""ВВ Отборное""",Овощи,"Перец, баклажаны",6315.0,2.7231,"{'title_overlap': 0.3333, 'vec_sim': 0.661, 'fuzzy': 0.8}"
