product_id,product_title,match_ingredient,score,reasons
10013,Вода питьевая природная газированный,Вода,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10013,Вода питьевая природная газированный,Вода газированная,3.2817,"{'coverage_ing': 0.5, 'title_overlap': 0.2, 'vec_sim': 0.9996, 'fuzzy': 0.6415}"
10014,Вода питьевая природная,вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10014,Вода питьевая природная,Вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10014,Вода питьевая природная,Вода газированная,3.2494,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.9996, 'fuzzy': 0.6}"
10015,Вода питьевая природная,вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10015,Вода питьевая природная,Вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10015,Вода питьевая природная,Вода газированная,3.2494,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.9996, 'fuzzy': 0.6}"
10016,Вода питьевая природная,вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10016,Вода питьевая природная,Вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10016,Вода питьевая природная,Вода газированная,3.2494,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.9996, 'fuzzy': 0.6}"
10017,Вода питьевая природная,вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10017,Вода питьевая природная,Вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10017,Вода питьевая природная,Вода газированная,3.2494,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.9996, 'fuzzy': 0.6}"
10018,Вода питьевая негазированная,вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10018,Вода питьевая негазированная,Вода,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10018,Вода питьевая негазированная,Вода газированная,3.4828,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.9996, 'fuzzy': 0.7556}"
10019,Вода питьевая газированная,Вода газированная,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10019,Вода питьевая газированная,вода,4.4994,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 0.9996, 'fuzzy': 1.0}"
